ID,Demosaicking,Cropping,Denoising,SharpenMicro,Downsampling,PostResizeSharpening
154,fast,3456,50,100,0.15,3.0
155,lmmse,3456,50,100,0.15,3.0
156,amaze,512,50,100,1.0,3.0
157,fast,512,50,100,1.0,3.0
158,lmmse,512,50,100,1.0,3.0
159,amaze,2048,50,100,0.25,3.0
160,fast,2048,50,100,0.25,3.0
161,lmmse,2048,50,100,0.25,3.0
162,amaze,3456,100,0,0.15,0
163,fast,3456,100,0,0.15,0
164,lmmse,3456,100,0,0.15,0
165,amaze,512,100,0,1.0,0
166,fast,512,100,0,1.0,0
167,lmmse,512,100,0,1.0,0
168,amaze,2048,100,0,0.25,0
169,fast,2048,100,0,0.25,0
170,lmmse,2048,100,0,0.25,0
171,amaze,3456,100,50,0.15,0
172,fast,3456,100,50,0.15,0
173,lmmse,3456,100,50,0.15,0
174,amaze,512,100,50,1.0,0
175,fast,512,100,50,1.0,0
176,lmmse,512,100,50,1.0,0
177,amaze,2048,100,50,0.25,0
178,fast,2048,100,50,0.25,0
179,lmmse,2048,100,50,0.25,0
180,amaze,3456,100,100,0.15,0
181,fast,3456,100,100,0.15,0
182,lmmse,3456,100,100,0.15,0
183,amaze,512,100,100,1.0,0
184,fast,512,100,100,1.0,0
185,lmmse,512,100,100,1.0,0
186,amaze,2048,100,100,0.25,0
187,fast,2048,100,100,0.25,0
188,lmmse,2048,100,100,0.25,0
189,amaze,3456,100,0,0.15,1.5
190,fast,3456,100,0,0.15,1.5
191,lmmse,3456,100,0,0.15,1.5
192,amaze,512,100,0,1.0,1.5
193,fast,512,100,0,1.0,1.5
194,lmmse,512,100,0,1.0,1.5
195,amaze,2048,100,0,0.25,1.5
196,fast,2048,100,0,0.25,1.5
197,lmmse,2048,100,0,0.25,1.5
198,amaze,3456,100,50,0.15,1.5
199,fast,3456,100,50,0.15,1.5
200,lmmse,3456,100,50,0.15,1.5
201,amaze,512,100,50,1.0,1.5
202,fast,512,100,50,1.0,1.5
203,lmmse,512,100,50,1.0,1.5
204,amaze,2048,100,50,0.25,1.5
205,fast,2048,100,50,0.25,1.5
206,lmmse,2048,100,50,0.25,1.5
207,amaze,3456,100,100,0.15,1.5
208,fast,3456,100,100,0.15,1.5
209,lmmse,3456,100,100,0.15,1.5
210,amaze,512,100,100,1.0,1.5
211,fast,512,100,100,1.0,1.5
212,lmmse,512,100,100,1.0,1.5
213,amaze,2048,100,100,0.25,1.5
214,fast,2048,100,100,0.25,1.5
215,lmmse,2048,100,100,0.25,1.5
216,amaze,3456,100,0,0.15,3.0
217,fast,3456,100,0,0.15,3.0
218,lmmse,3456,100,0,0.15,3.0
219,amaze,512,100,0,1.0,3.0
220,fast,512,100,0,1.0,3.0
221,lmmse,512,100,0,1.0,3.0
222,amaze,2048,100,0,0.25,3.0
223,fast,2048,100,0,0.25,3.0
224,lmmse,2048,100,0,0.25,3.0
225,amaze,3456,100,50,0.15,3.0
226,fast,3456,100,50,0.15,3.0
227,lmmse,3456,100,50,0.15,3.0
228,amaze,512,100,50,1.0,3.0
229,fast,512,100,50,1.0,3.0
230,lmmse,512,100,50,1.0,3.0
231,amaze,2048,100,50,0.25,3.0
232,fast,2048,100,50,0.25,3.0
233,lmmse,2048,100,50,0.25,3.0
234,amaze,3456,100,100,0.15,3.0
235,fast,3456,100,100,0.15,3.0
236,lmmse,3456,100,100,0.15,3.0
237,amaze,512,100,100,1.0,3.0
238,fast,512,100,100,1.0,3.0
239,lmmse,512,100,100,1.0,3.0
240,amaze,2048,100,100,0.25,3.0
241,fast,2048,100,100,0.25,3.0
242,lmmse,2048,100,100,0.25,3.0
